sector,indicator,unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,source
4,Policy interest rate (Refinancing rate),Percent,,,,,,,,,,,,,,,,,,10.8,12,12,6,6,4.8,4.8,5,5.5,6.5,6.5,6.5,9.5,8,9,15,9,7,6.5,6.5,6.5,6.25,6.25,6,4,4,4,4,4,,,,,,"SBV, NSO"
4,"Credit from Central Bank, Domestic currency",Billions,,,,,,,,,,,,,4752,6621,,5793,6133,5565,4249,11576,14427,17753,19250,14491,16679,20943,25436,24571,17560,98822,189640,215921,67141,45401,60727,153564,89086,66697,124196,42214,36639,45851,330800.5055,,,,,,,,,IMF
4,"Claims on Private Sector, Domestic currency",Billions,,,,,,,,,,,,,15095,23184,,42310,50789,62251,72651,112730,155720,189103,231078,296737,420046,552667,693834,1067729,1339263,1869255,2475535,2829890,3077703,3469683,3949676,4692917,5575053,6543900,7378838,8326235,9293305,10548481,12023008.51,,,,,,,,,IMF
4,"Central or General Government Deposits, Domestic currency",Billions,,,,,,,,,,,,,4268,1786,,3321,2795,3127,4974,3606,13052,16187,19848,23805,32201,33656,36177,47084,64448,63355,69534,80068,80741,98554,85189,69190,112914,287005,296427,303362,100582,66100,342603.5299,,,,,,,,,IMF
4,"Other Items (Net), Domestic currency",Billions,,,,,,,,,,,,,-676,1268,,3764,3925,1924,555,78,12636,12386,1577,-4819,3482,29143,-8450,-20759,-46862,-118560,-360865,-352770,-274657,-408541,-351870,-370933,-452336,-487374,-657272,-796284,-896973,-1183085,-1396483.046,,,,,,,,,IMF
4,"Capital Accounts, Domestic currency",Billions,,,,,,,,,,,,,2784,3273,,8166,7984,9798,13172,22033,24801,26962,34684,46986,59411,71920,99827,175697,239779,320162,430718,539384,575321,632536,651877,701726,769466,860025,976115,1130787,1271766,1546959,1791734.629,,,,,,,,,IMF
4,"Reserves, Domestic currency",Billions,,,,,,,,,,,,,3451,3709,,7409,9323,9451,9920,16881,20390,18426,20166,30778,31646,42961,71282,94052,139814,127826,99222,151541,199955,188940,201456,257801,255118,359219,342693,573537,603267,674151,607688.9646,,,,,,,,,IMF
4,"Foreign Liabilities, Domestic currency",Billions,,,,,,,,,,,,,2128,3485,,9528,10987,10678,9432,9324,9908,10251,9860,10715,18898,23201,32826,55898,87131,123315,172886,200322,221650,236916,209428,201726,236942,308236,307941,375975,382703,575999,592368.8326,,,,,,,,,IMF
4,"Demand Deposits, Domestic currency",Billions,,,,,,,,,,,,,3971,4796,,6870,10213,14682,18241,27106,38781,46089,51066,66441,88891,110823,133405,214653,196470,271988,287503,315128,384630,482582,574568,688264,819436,972619,1057327,1228407,1563664,1956043,1857399.335,,,,,,,,,IMF
4,"Foreign Assets, Net Foreign Assets (NFA), Domestic currency",Billions,,,,,,,,,,,,,11313,6011,,10251,13613,20248,30425,60229,94193,116780,116226,129620,143680,187306,277298,399820,405377,287205,224439,266361,513327,610318,823168,833468,946391,1262004,1537729,2128233,2638483,2688410,2314300.737,-534.8813953,,,,,,,,"IMF, NFA = Foreign Assets − Foreign Liabilities"
4,"Domestic Claims, Claims on Private Sector, Domestic currency",Billions,,,,,,,,,,,,,15095,23184,,42310,50789,62251,72651,112730,155720,189103,231078,296737,420046,552667,693834,1067729,1339263,1869255,2475535,2829890,3077703,3469683,3949676,4692917,5575053,6543900,7378838,8326235,9293305,10548481,12023008.51,,,,,,,,,IMF
4,"Domestic Claims, Claims on Central or General Government, Net Claims on Central or General Government, Domestic currency",Billions,,,,,,,,,,,,,2272,8322,,3634,3946,4369,6676,2952,-484,2102,8843,21034,22932,45048,40557,32356,64491,170793,214432,233978,327192,409472,530293,688516,731566,557115,474926,259802,362135,320269,85281.57355,,,,,,,,,IMF
4,"Claims on Central or General Government, Domestic currency",Billions,,,,,,,,,,,,,1634,1718,,4372,2031,3492,5332,6358,8246,10258,17566,34169,43857,70831,83722,109270,152519,158080,201743,258866,364822,480536,608125,674839,813427,854233,868185,838945,947348,937589,877463.4893,,,,,,,,,IMF
4,"Capital Accounts, Domestic currency",Billions,,,,,,,,,,,,,3318,3220,,9169,9168,12928,21025,30601,34816,38970,47420,62904,77995,90463,131027,223846,296845,402325,520646,656605,681485,752006,745807,810081,878523,991994,1137318,1322468,1477360,1755450,2037215.269,,,,,,,,,IMF
4,"Domestic Claims, Domestic currency",Billions,,,,,,,,,,,,,17367,31506,,45944,54735,66620,79327,115682,155236,191204,239921,317771,442978,597715,734391,1100085,1403754,2040049,2689967,3063869,3404895,3879154,4479970,5381433,6306619,7101015,7853764,8586037,9655440,10868750,12108290.08,,,,,,,,,IMF
4,"Foreign Assets, Domestic currency",Billions,,,,,,,,,,,,,9237,5794,,9523,11133,12168,18629,29651,61140,79212,70491,50363,58039,71130,99340,80255,88859,130606,174633,197596,214223,308707,311742,422766,378833,474479,584520,692967,823482,773974,902349.9044,,,,,,,,,IMF
4,"Variations of Time, Savings, and Foreign Currency Deposits: Central Government Monetary Liabilities, Quasi-Monetary Deposits",Billions,,,,,,,,,,,,,3822,3250,,9622,12445,15194,20091,36191,47462,60251,77387,133617,182408,261269,382396,597162,791066,1004770,1466950,1683540,2211874,2691221,3276868,3716613,4515580,5180623,5877235,6678257,7447020,8001463,8872966.817,,,,,,,,,IMF
4,"Securities Other Than Shares, Domestic currency",Billions,,,,,,,,,,,,,298,2544,,5490,5635,7703,10890,10865,18842,21012,35262,26265,26530,31048,68378,74421,89464,148271,282438,309571,210231,159385,96429,196967,275969,373779,408850,582982,752826,936522,1054420.25,,,,,,,,,IMF
4,"Variations of Time, Savings, and Foreign Currency Deposits: Central Government Monetary Liabilities, Foreign Currency Deposits, Domestic currency",Billions,,,,,,,,,,,,,6506,5892,,8924,11042,15611,22098,40919,58543,78187,81428,87418,115050,145303,166400,221668,289159,340604,385909,404621,403214,514079,546371,640001,616933,642157,740810,848911,962097,927888,1026381.565,,,,,,,,,IMF
